Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2024-06-06,EQ,1564.9,1565.45,1546.6,1551.8,1559.5,1559.7,1557.0,1757.5,1363.55,23211435,36140249317.55,599204
2024-06-07,EQ,1561.05,1584.35,1552.05,1559.7,1575.0,1573.35,1572.47,1757.5,1363.55,18356108,28864483389.9,416517
2024-06-10,EQ,1574.0,1580.65,1557.6,1573.35,1559.55,1561.3,1566.93,1757.5,1363.55,11227029,17591912808.65,314062
2024-06-11,EQ,1556.0,1571.0,1552.2,1561.3,1563.05,1564.8,1564.24,1757.5,1363.55,14772663,23107928769.2,458802
2024-06-12,EQ,1575.0,1588.3,1566.4,1564.8,1569.0,1574.15,1576.98,1757.5,1363.55,19640218,30972287118.05,341079
2024-06-13,EQ,1581.75,1585.7,1574.0,1574.15,1581.2,1580.75,1581.85,1757.5,1363.55,12060096,19077228502.15,281276
2024-06-14,EQ,1584.0,1599.0,1577.7,1580.75,1595.6,1596.9,1592.12,1757.5,1363.55,12770277,20331873861.15,320179
2024-06-18,EQ,1596.9,1610.5,1589.45,1596.9,1608.0,1607.8,1604.04,1757.5,1363.55,16207857,25998073833.5,353540
2024-06-19,EQ,1613.4,1669.9,1604.0,1607.8,1657.0,1657.85,1644.44,1757.5,1363.55,45065598,74107587437.4,709705
2024-06-20,EQ,1669.8,1681.45,1652.0,1657.85,1667.25,1669.35,1667.89,1757.5,1363.55,20704371,34532604621.85,465827
2024-06-21,EQ,1672.85,1672.85,1643.15,1669.35,1661.65,1665.75,1658.68,1757.5,1363.55,25815388,42819437838.9,408577
2024-06-24,EQ,1647.0,1675.1,1645.75,1665.75,1671.0,1672.4,1664.93,1757.5,1363.55,14272497,23762644259.6,387580
2024-06-25,EQ,1671.1,1716.95,1671.1,1672.4,1707.0,1711.35,1705.04,1757.5,1363.55,37260774,63531128010.5,690683
2024-06-26,EQ,1707.95,1710.9,1691.1,1711.35,1693.5,1701.5,1703.01,1757.5,1363.55,23798333,40528870562.05,424591
2024-06-27,EQ,1696.1,1713.0,1686.6,1701.5,1696.45,1696.15,1697.92,1757.5,1363.55,27537325,46756142645.9,586504
2024-06-28,EQ,1697.6,1706.6,1679.0,1696.15,1685.0,1683.8,1692.59,1757.5,1363.55,13238023,22406574604.55,312550
2024-07-01,EQ,1680.0,1707.3,1680.0,1683.8,1704.2,1705.2,1699.74,1757.5,1363.55,10593512,18006189828.25,355235
2024-07-02,EQ,1715.0,1734.9,1702.75,1705.2,1728.0,1730.6,1722.46,1757.5,1363.55,22960845,39549118301.05,486972
2024-07-03,EQ,1791.0,1794.0,1764.65,1730.6,1767.7,1768.65,1776.87,1794.0,1363.55,61608901,109470877766.9,846404
2024-07-04,EQ,1759.75,1759.75,1724.85,1768.65,1728.0,1727.15,1735.22,1794.0,1363.55,22924329,39778717290.5,405416
2024-07-05,EQ,1685.0,1685.0,1642.2,1727.15,1649.4,1648.1,1656.79,1794.0,1363.55,41121274,68129239005.75,1117072
2024-07-08,EQ,1645.3,1654.95,1627.15,1648.1,1636.35,1635.35,1640.07,1794.0,1363.55,19543900,32053306234.35,324769
2024-07-09,EQ,1625.0,1646.7,1620.35,1635.35,1638.8,1636.5,1638.53,1794.0,1363.55,24275439,39776084749.7,442487
2024-07-10,EQ,1629.95,1640.0,1620.75,1636.5,1628.7,1626.1,1627.6,1794.0,1363.55,22753591,37033758498.9,405034
