Date,SPY,QQQ
2011-01-19,97.59224700927734,49.44969940185547
2011-01-20,97.46287536621094,49.09969711303711
2011-01-21,97.68356323242188,48.72340393066406
2011-01-24,98.23905181884766,49.397212982177734
2011-01-25,98.29232788085938,49.467201232910156
2011-01-26,98.67280578613281,49.72972869873047
2011-01-27,98.91632843017578,50.03600311279297
2011-01-28,97.1889419555664,48.76716232299805
2011-01-31,97.91944122314453,49.00341796875
2011-02-01,99.48702239990234,49.92225646972656
2011-02-02,99.29676818847656,49.84349060058594
2011-02-03,99.5174560546875,49.93099594116211
2011-02-04,99.79901885986328,50.21104049682617
2011-02-07,100.4229965209961,50.44728088378906
2011-02-08,100.87957000732422,50.77979278564453
2011-02-09,100.65126037597656,50.69230270385742
2011-02-10,100.68930053710938,50.77106857299805
2011-02-11,101.29049682617188,51.138580322265625
2011-02-14,101.533935546875,51.26108169555664
2011-02-15,101.21438598632812,51.19108200073242
2011-02-16,101.85357666015625,51.523597717285156
2011-02-17,102.15795135498047,51.50609588623047
2011-02-18,102.37105560302734,51.39234924316406
2011-02-22,100.31647491455078,49.90474319458008
2011-02-23,99.70008850097656,49.49346923828125
2011-02-24,99.63157653808594,49.7559814453125
2011-02-25,100.69694519042969,50.44728088378906
2011-02-28,101.32090759277344,50.55228805541992
2011-03-01,99.63157653808594,49.73849868774414
2011-03-02,99.84464263916016,50.00100326538086
2011-03-03,101.56446075439453,50.98981857299805
2011-03-04,100.80345916748047,50.727298736572266
2011-03-07,100.01203918457031,50.04475402832031
2011-03-08,100.8871841430664,50.24603271484375
2011-03-09,100.74259185791016,49.90474319458008
2011-03-10,98.87825775146484,49.12591552734375
2011-03-11,99.56309509277344,49.43219757080078
2011-03-14,98.96197509765625,49.257198333740234
2011-03-15,97.82813262939453,48.55715560913086
2011-03-16,96.01708984375,47.384578704833984
2011-03-17,97.2878646850586,47.82210159301758
2011-03-18,97.64173889160156,47.71431350708008
2011-03-21,99.15493774414062,48.634422302246094
2011-03-22,98.81102752685547,48.54679489135742
2011-03-23,99.09379577636719,48.81843566894531
2011-03-24,100.04147338867188,49.68598175048828
2011-03-25,100.34718322753906,49.808677673339844
2011-03-28,100.10263061523438,49.53699493408203
2011-03-29,100.77519226074219,50.01897430419922
2011-03-30,101.47066497802734,50.25556945800781
2011-03-31,101.33308410644531,50.32566452026367
2011-04-01,101.7610855102539,50.35195541381836
2011-04-04,101.84515380859375,50.18546676635742
2011-04-05,101.82987976074219,50.054019927978516
2011-04-06,102.15084838867188,50.17670440673828
2011-04-07,101.89100646972656,50.14166259765625
2011-04-08,101.53944396972656,49.905052185058594
2011-04-11,101.23373413085938,49.738555908203125
2011-04-12,100.47714233398438,49.39680480957031
2011-04-13,100.46947479248047,49.81740951538086
2011-04-14,100.54586791992188,49.72978210449219
2011-04-15,100.91278076171875,49.642173767089844
2011-04-18,99.78160095214844,49.291648864746094
2011-04-19,100.3548355102539,49.598365783691406
2011-04-20,101.72286224365234,50.72001647949219
2011-04-21,102.24253845214844,51.12310791015625
2011-04-25,102.13554382324219,51.25455093383789
2011-04-26,103.01441955566406,51.543731689453125
2011-04-27,103.68701934814453,51.894256591796875
2011-04-28,104.02326965332031,51.815364837646484
2011-04-29,104.26783752441406,51.771568298339844
2011-05-02,104.10736083984375,51.6751823425293
2011-05-03,103.73291015625,51.42981719970703
2011-05-04,103.0450210571289,51.35093688964844
2011-05-05,102.11263275146484,51.070526123046875
2011-05-06,102.56356811523438,51.237022399902344
2011-05-09,102.9609603881836,51.42981719970703
2011-05-10,103.83983612060547,51.86793899536133
2011-05-11,102.7469482421875,51.49113845825195
2011-05-12,103.23609924316406,51.797855377197266
2011-05-13,102.44123840332031,51.18445587158203
2011-05-16,101.79161071777344,50.29939270019531
2011-05-17,101.77637481689453,50.439598083496094
2011-05-18,102.6858139038086,50.860206604003906
2011-05-19,102.93038177490234,51.009178161621094
2011-05-20,102.11263275146484,50.62361526489258
2011-05-23,100.92805480957031,49.87875747680664
2011-05-24,100.8439712524414,49.57206726074219
2011-05-25,101.18024444580078,49.76485061645508
2011-05-26,101.64643096923828,50.07155227661133
2011-05-27,102.03620147705078,50.32566452026367
2011-05-31,103.09854125976562,51.14063262939453
2011-06-01,100.78284454345703,50.02772903442383
2011-06-02,100.67583465576172,50.13289260864258
2011-06-03,99.67464447021484,49.37926483154297
2011-06-06,98.6199722290039,48.97617721557617
2011-06-07,98.55880737304688,48.88854217529297
2011-06-08,98.14613342285156,48.53802490234375
2011-06-09,98.89506530761719,48.62566375732422
2011-06-10,97.51944732666016,47.880821228027344
